Minnesota State University Mankato,Baseball,D2,NSIC
Harding University,Baseball,D2,Great American Conference
Catawba College,Baseball,D2,South Atlantic Conference
Ashland University,Baseball,D2,G-MAC
Sonoma State University,Baseball,D2,CCAA
Lincoln Memorial University,Baseball,D2,South Atlantic Conference
Arkansas Tech University,Baseball,D2,Great American Conference
Angelo State University,Baseball,D2,Lone Star Conference
North Greenville University,Baseball,D2,Conference Carolinas
West Virginia State University,Football,D2,Mountain East Conference
University of Sioux Falls,Football,D2,NSIC
Concord University,Football,D2,Mountain East Conference
Northwest Missouri State University,Football,D2,MIAA
Kutztown University,Football,D2,PSAC
Tuskegee University,Football,D2,SIAC
Valdosta State University,Football,D2,Gulf South Conference
West Chester University,Football,D2,PSAC
Bemidji State University,Football,D2,NSIC
Ashland University,Football,D2,G-MAC
Wayne State University,Football,D2,GLIAC
North Greenville University,Football,D2,Conference Carolinas
Ouachita Baptist University,Football,D2,Great American Conference
Henderson State University,Football,D2,Great American Conference
Harding University,Football,D2,Great American Conference
Minnesota State University Mankato,Football,D2,NSIC
Truman State University,Men's Basketball,D2,GLVC
Minnesota State University Mankato,Men's Basketball,D2,NSIC
Northern State University,Men's Basketball,D2,NSIC
Sonoma State University,Men's Basketball,D2,CCAA
Indiana University of Pennsylvania,Men's Basketball,D2,PSAC
California State University Chico,Men's Basketball,D2,CCAA
Tiffin University,Men's Soccer,D2,G-MAC
Walsh University,Men's Soccer,D2,G-MAC
Sonoma State University,Men's Soccer,D2,CCAA
California State University Chico,Men's Soccer,D2,CCAA
University of Findlay,Men's Soccer,D2,G-MAC
Wingate University,Men's Soccer,D2,South Atlantic Conference
Azusa Pacific University,Men's Soccer,D2,PacWest Conference
Cal Poly Humboldt,Men's Soccer,D2,Great Northwest Athletic Conference
Arkansas Tech University,Softball,D2,Great American Conference
Ashland University,Softball,D2,G-MAC
Angelo State University,Softball,D2,Lone Star Conference
Harding University,Softball,D2,Great American Conference
Lincoln Memorial University,Softball,D2,South Atlantic Conference
Henderson State University,Women's Basketball,D2,Great American Conference
California State University San Bernardino,Women's Soccer,D2,CCAA
Sonoma State University,Women's Soccer,D2,CCAA
California State University Chico,Women's Soccer,D2,CCAA
Walsh University,Women's Soccer,D2,G-MAC
Wingate University,Women's Soccer,D2,South Atlantic Conference
North Greenville University,Women's Soccer,D2,Conference Carolinas
University of Sioux Falls,Women's Soccer,D2,NSIC
Azusa Pacific University,Women's Soccer,D2,PacWest Conference
Tiffin University,Women's Soccer,D2,G-MAC
Wartburg College,Baseball,D3,American Rivers Conference
George Fox University,Baseball,D3,Northwest Conference
Bridgewater College,Baseball,D3,ODAC
Randolph-Macon College,Baseball,D3,ODAC
Whitworth University,Baseball,D3,Northwest Conference
DePauw University,Baseball,D3,NCAC
Texas Lutheran University,Baseball,D3,American Southwest Conference
California Lutheran University,Baseball,D3,Southern California Intercollegiate Athletic Conference
Pomona-Pitzer Colleges,Baseball,D3,Southern California Intercollegiate Athletic Conference
Bethel University MN,Baseball,D3,Minnesota Intercollegiate Athletic Conference
Saint John's University MN,Baseball,D3,Minnesota Intercollegiate Athletic Conference
Berry College,Baseball,D3,Southern Athletic Association
Carthage College,Baseball,D3,CCIW
Capital University,Baseball,D3,Ohio Athletic Conference
Marietta College,Baseball,D3,Ohio Athletic Conference
Trinity University TX,Baseball,D3,Southern Athletic Association
DePauw University,Football,D3,NCAC
Tufts University,Football,D3,NESCAC
